node,date,day,hour,minute,speed
0,2021/6/1,1,0,0,79.378
1,2021/6/1,1,0,0,86.211
2,2021/6/1,1,0,0,37.304
3,2021/6/1,1,0,0,101.392
4,2021/6/1,1,0,0,52.114
5,2021/6/1,1,0,0,63.714
6,2021/6/1,1,0,0,95.139
7,2021/6/1,1,0,0,19.036
8,2021/6/1,1,0,0,30.351
9,2021/6/1,1,0,0,34.084
10,2021/6/1,1,0,0,0.867
11,2021/6/1,1,0,0,50.74
12,2021/6/1,1,0,0,100.721
13,2021/6/1,1,0,0,4.065
14,2021/6/1,1,0,0,26.662
15,2021/6/1,1,0,0,74.796
16,2021/6/1,1,0,0,94.075
17,2021/6/1,1,0,0,54.103
18,2021/6/1,1,0,0,54.259
19,2021/6/1,1,0,0,27.468
20,2021/6/1,1,0,0,69.993
21,2021/6/1,1,0,0,91.254
22,2021/6/1,1,0,0,54.215
23,2021/6/1,1,0,0,80.083
24,2021/6/1,1,0,0,32.357
25,2021/6/1,1,0,0,40.5
26,2021/6/1,1,0,0,43.509
27,2021/6/1,1,0,0,35.547
28,2021/6/1,1,0,0,98.95
29,2021/6/1,1,0,0,98.395
30,2021/6/1,1,0,0,91.355
31,2021/6/1,1,0,0,88.47
32,2021/6/1,1,0,0,94.086
33,2021/6/1,1,0,0,94.87
34,2021/6/1,1,0,0,68.581
35,2021/6/1,1,0,0,90.312
36,2021/6/1,1,0,0,102.831
37,2021/6/1,1,0,0,90.277
38,2021/6/1,1,0,0,108.239
39,2021/6/1,1,0,0,108.243
40,2021/6/1,1,0,0,101.226
41,2021/6/1,1,0,0,51.418
42,2021/6/1,1,0,0,87.264
43,2021/6/1,1,0,0,92.143
44,2021/6/1,1,0,0,141.514
45,2021/6/1,1,0,0,103.073
46,2021/6/1,1,0,0,102.591
47,2021/6/1,1,0,0,93.419
48,2021/6/1,1,0,0,72.016
49,2021/6/1,1,0,0,106.142
50,2021/6/1,1,0,0,82.459
51,2021/6/1,1,0,0,88.617
52,2021/6/1,1,0,0,105.837
53,2021/6/1,1,0,0,91.321
54,2021/6/1,1,0,0,101.689
55,2021/6/1,1,0,0,109.874
56,2021/6/1,1,0,0,118.142
57,2021/6/1,1,0,0,102.784
58,2021/6/1,1,0,0,95.32
59,2021/6/1,1,0,0,97.48
60,2021/6/1,1,0,0,101.352
61,2021/6/1,1,0,0,105.946
62,2021/6/1,1,0,0,97.897
63,2021/6/1,1,0,0,100.959
64,2021/6/1,1,0,0,121.865
65,2021/6/1,1,0,0,121.686
66,2021/6/1,1,0,0,103.251
67,2021/6/1,1,0,0,111.202
68,2021/6/1,1,0,0,114.401
69,2021/6/1,1,0,0,104.565
70,2021/6/1,1,0,0,89.76
71,2021/6/1,1,0,0,109.513
72,2021/6/1,1,0,0,86.03
73,2021/6/1,1,0,0,78.942
74,2021/6/1,1,0,0,83.127
75,2021/6/1,1,0,0,83.637
76,2021/6/1,1,0,0,94.032
77,2021/6/1,1,0,0,107.423
78,2021/6/1,1,0,0,107.611
79,2021/6/1,1,0,0,106.806
80,2021/6/1,1,0,0,105.598
81,2021/6/1,1,0,0,42.627
82,2021/6/1,1,0,0,93.413
83,2021/6/1,1,0,0,47.506
84,2021/6/1,1,0,0,70.194
85,2021/6/1,1,0,0,59.241
86,2021/6/1,1,0,0,41.081
87,2021/6/1,1,0,0,78.086
88,2021/6/1,1,0,0,82.686
89,2021/6/1,1,0,0,85.661
90,2021/6/1,1,0,0,3.217
91,2021/6/1,1,0,0,41.078
92,2021/6/1,1,0,0,79.103
93,2021/6/1,1,0,0,17.928
94,2021/6/1,1,0,0,79.051
95,2021/6/1,1,0,0,93.759
96,2021/6/1,1,0,0,60.36
97,2021/6/1,1,0,0,62.617
98,2021/6/1,1,0,0,81.499
99,2021/6/1,1,0,0,108.301
100,2021/6/1,1,0,0,38.829
101,2021/6/1,1,0,0,45.396
102,2021/6/1,1,0,0,82.948
103,2021/6/1,1,0,0,0.547
104,2021/6/1,1,0,0,101.705
105,2021/6/1,1,0,0,75.492
106,2021/6/1,1,0,0,71.015
107,2021/6/1,1,0,0,21.549
0,2021/6/1,1,0,15,93.896
1,2021/6/1,1,0,15,81.506
2,2021/6/1,1,0,15,49.232
3,2021/6/1,1,0,15,111.283
4,2021/6/1,1,0,15,51.37
5,2021/6/1,1,0,15,2.181
6,2021/6/1,1,0,15,70.511
7,2021/6/1,1,0,15,45.721
8,2021/6/1,1,0,15,21.374
9,2021/6/1,1,0,15,29.933
10,2021/6/1,1,0,15,3.515
11,2021/6/1,1,0,15,55.193
12,2021/6/1,1,0,15,82.413
13,2021/6/1,1,0,15,5.742
14,2021/6/1,1,0,15,34.25
15,2021/6/1,1,0,15,95.694
16,2021/6/1,1,0,15,83.051
17,2021/6/1,1,0,15,40.798
18,2021/6/1,1,0,15,55.413
19,2021/6/1,1,0,15,25.423
20,2021/6/1,1,0,15,100.103
21,2021/6/1,1,0,15,107.614
22,2021/6/1,1,0,15,80.526
23,2021/6/1,1,0,15,84.196
24,2021/6/1,1,0,15,34.924
25,2021/6/1,1,0,15,42.31
26,2021/6/1,1,0,15,45
27,2021/6/1,1,0,15,47.003
28,2021/6/1,1,0,15,122.475
29,2021/6/1,1,0,15,103.932
30,2021/6/1,1,0,15,89.852
31,2021/6/1,1,0,15,71.703
32,2021/6/1,1,0,15,102.853
33,2021/6/1,1,0,15,99.961
34,2021/6/1,1,0,15,61.237
35,2021/6/1,1,0,15,90.73
36,2021/6/1,1,0,15,103.572
37,2021/6/1,1,0,15,100.224
38,2021/6/1,1,0,15,105.778
39,2021/6/1,1,0,15,102.977
40,2021/6/1,1,0,15,90.231
41,2021/6/1,1,0,15,77.118
42,2021/6/1,1,0,15,72.574
43,2021/6/1,1,0,15,92.319
44,2021/6/1,1,0,15,146.804
45,2021/6/1,1,0,15,92.521
46,2021/6/1,1,0,15,93.54
47,2021/6/1,1,0,15,87.238
48,2021/6/1,1,0,15,81.826
49,2021/6/1,1,0,15,115.438
50,2021/6/1,1,0,15,81.237
51,2021/6/1,1,0,15,94.989
52,2021/6/1,1,0,15,98.897
53,2021/6/1,1,0,15,106.432
54,2021/6/1,1,0,15,105.098
55,2021/6/1,1,0,15,105.892
56,2021/6/1,1,0,15,114.143
57,2021/6/1,1,0,15,107.216
58,2021/6/1,1,0,15,72.906
59,2021/6/1,1,0,15,95.041
60,2021/6/1,1,0,15,94.531
61,2021/6/1,1,0,15,104.533
62,2021/6/1,1,0,15,93.637
63,2021/6/1,1,0,15,103.058
64,2021/6/1,1,0,15,110.351
65,2021/6/1,1,0,15,0.644
66,2021/6/1,1,0,15,113.249
67,2021/6/1,1,0,15,101.935
68,2021/6/1,1,0,15,103.277
69,2021/6/1,1,0,15,106.062
70,2021/6/1,1,0,15,137.787
71,2021/6/1,1,0,15,99.572
72,2021/6/1,1,0,15,79.907
73,2021/6/1,1,0,15,84.93
74,2021/6/1,1,0,15,94.406
75,2021/6/1,1,0,15,93.215
76,2021/6/1,1,0,15,101.914
77,2021/6/1,1,0,15,91.101
78,2021/6/1,1,0,15,105.607
79,2021/6/1,1,0,15,112.178
80,2021/6/1,1,0,15,92.024
81,2021/6/1,1,0,15,54.068
82,2021/6/1,1,0,15,95.541
83,2021/6/1,1,0,15,49.795
84,2021/6/1,1,0,15,44.472
85,2021/6/1,1,0,15,59.991
86,2021/6/1,1,0,15,40.956
87,2021/6/1,1,0,15,69.459
88,2021/6/1,1,0,15,110.727
89,2021/6/1,1,0,15,90.735
90,2021/6/1,1,0,15,7.64
91,2021/6/1,1,0,15,49.326
92,2021/6/1,1,0,15,77.805
93,2021/6/1,1,0,15,10.611
94,2021/6/1,1,0,15,77.679
95,2021/6/1,1,0,15,99.61
96,2021/6/1,1,0,15,58.947
97,2021/6/1,1,0,15,44.992
98,2021/6/1,1,0,15,82.479
99,2021/6/1,1,0,15,72.315
100,2021/6/1,1,0,15,36.539
101,2021/6/1,1,0,15,32.644
102,2021/6/1,1,0,15,65.259
103,2021/6/1,1,0,15,0.379
104,2021/6/1,1,0,15,91.833
105,2021/6/1,1,0,15,84.651
106,2021/6/1,1,0,15,84.975
107,2021/6/1,1,0,15,22.285
0,2021/6/1,1,0,30,109.683
1,2021/6/1,1,0,30,83.585
2,2021/6/1,1,0,30,16.71
3,2021/6/1,1,0,30,97.963
4,2021/6/1,1,0,30,48.216
5,2021/6/1,1,0,30,49.765
6,2021/6/1,1,0,30,52.335
7,2021/6/1,1,0,30,48.542
8,2021/6/1,1,0,30,28.836
9,2021/6/1,1,0,30,47.635
10,2021/6/1,1,0,30,4.749
11,2021/6/1,1,0,30,52.604
12,2021/6/1,1,0,30,105.596
13,2021/6/1,1,0,30,6.225
14,2021/6/1,1,0,30,48.742
15,2021/6/1,1,0,30,73.441
16,2021/6/1,1,0,30,70.322
17,2021/6/1,1,0,30,47.172
18,2021/6/1,1,0,30,53.342
19,2021/6/1,1,0,30,2.053
20,2021/6/1,1,0,30,100.093
21,2021/6/1,1,0,30,101.996
22,2021/6/1,1,0,30,81.833
23,2021/6/1,1,0,30,74.098
24,2021/6/1,1,0,30,34.369
25,2021/6/1,1,0,30,41.918
26,2021/6/1,1,0,30,50.747
27,2021/6/1,1,0,30,62.183
28,2021/6/1,1,0,30,105.203
29,2021/6/1,1,0,30,106.161
30,2021/6/1,1,0,30,97.448
31,2021/6/1,1,0,30,91
32,2021/6/1,1,0,30,91.634
33,2021/6/1,1,0,30,94.561
34,2021/6/1,1,0,30,66.032
35,2021/6/1,1,0,30,105.328
36,2021/6/1,1,0,30,105.252
37,2021/6/1,1,0,30,102.893
38,2021/6/1,1,0,30,96.791
39,2021/6/1,1,0,30,108.005
40,2021/6/1,1,0,30,101.366
41,2021/6/1,1,0,30,12.521
42,2021/6/1,1,0,30,64.475
43,2021/6/1,1,0,30,89.279
44,2021/6/1,1,0,30,146.804
45,2021/6/1,1,0,30,96.832
46,2021/6/1,1,0,30,103.933
47,2021/6/1,1,0,30,84.93
48,2021/6/1,1,0,30,55.472
49,2021/6/1,1,0,30,118.539
50,2021/6/1,1,0,30,86.757
51,2021/6/1,1,0,30,87.773
52,2021/6/1,1,0,30,98.291
53,2021/6/1,1,0,30,98.769
54,2021/6/1,1,0,30,90.214
55,2021/6/1,1,0,30,103.162
56,2021/6/1,1,0,30,108.657
57,2021/6/1,1,0,30,84.22
58,2021/6/1,1,0,30,108.872
59,2021/6/1,1,0,30,100.025
60,2021/6/1,1,0,30,94.871
61,2021/6/1,1,0,30,97.034
62,2021/6/1,1,0,30,91.676
63,2021/6/1,1,0,30,107.583
64,2021/6/1,1,0,30,120.314
65,2021/6/1,1,0,30,88.899
66,2021/6/1,1,0,30,112.133
67,2021/6/1,1,0,30,61.397
68,2021/6/1,1,0,30,104.804
69,2021/6/1,1,0,30,103.897
70,2021/6/1,1,0,30,142.797
71,2021/6/1,1,0,30,98.175
72,2021/6/1,1,0,30,86.265
73,2021/6/1,1,0,30,93.266
74,2021/6/1,1,0,30,79.414
75,2021/6/1,1,0,30,91.531
76,2021/6/1,1,0,30,101.29
77,2021/6/1,1,0,30,94.605
78,2021/6/1,1,0,30,103.448
79,2021/6/1,1,0,30,107.283
80,2021/6/1,1,0,30,98.017
81,2021/6/1,1,0,30,58.362
82,2021/6/1,1,0,30,141.318
83,2021/6/1,1,0,30,43.219
84,2021/6/1,1,0,30,7.636
85,2021/6/1,1,0,30,59.273
86,2021/6/1,1,0,30,45.924
87,2021/6/1,1,0,30,74.427
88,2021/6/1,1,0,30,89.309
89,2021/6/1,1,0,30,91.938
90,2021/6/1,1,0,30,4.549
91,2021/6/1,1,0,30,55.347
92,2021/6/1,1,0,30,56.424
93,2021/6/1,1,0,30,15.755
94,2021/6/1,1,0,30,74.276
95,2021/6/1,1,0,30,107.036
96,2021/6/1,1,0,30,48.639
97,2021/6/1,1,0,30,79.365
98,2021/6/1,1,0,30,75.397
99,2021/6/1,1,0,30,88.217
100,2021/6/1,1,0,30,42.278
101,2021/6/1,1,0,30,51.212
102,2021/6/1,1,0,30,74.438
103,2021/6/1,1,0,30,0.434
104,2021/6/1,1,0,30,74.731
105,2021/6/1,1,0,30,92.773
106,2021/6/1,1,0,30,76.184
107,2021/6/1,1,0,30,59.435
0,2021/6/1,1,0,45,97.033
1,2021/6/1,1,0,45,85.732
2,2021/6/1,1,0,45,56.658
3,2021/6/1,1,0,45,109.023
4,2021/6/1,1,0,45,48.247
5,2021/6/1,1,0,45,52.084
6,2021/6/1,1,0,45,72.836
7,2021/6/1,1,0,45,57.266
8,2021/6/1,1,0,45,28.769
9,2021/6/1,1,0,45,35.12
10,2021/6/1,1,0,45,4.03
11,2021/6/1,1,0,45,55.118
12,2021/6/1,1,0,45,98.834
13,2021/6/1,1,0,45,6.882
14,2021/6/1,1,0,45,37.099
